,city,PDR1819,PDR1920,HDR1819,HDR1920,RDR1819,RDR1920
18,Raleigh ,1.0131809406921592,1.6641037486104344,8.17983217927638,7.112124460783821,4.229741763134457,3.2339715108921068
19,San Francisco ,0.09685521451215856,1.644605121212774,3.365296474541148,5.181740459359734,1.9238517324738205,0.7621760751680491
20,Las Vegas ,1.257874346266021,1.6399030275487128,5.483302700112168,4.093077915124747,3.526496378192913,1.1913170410133214
21,San Diego ,0.13601356478613028,1.6328253447867789,4.807243650509078,2.760699082048854,3.2351844949683253,2.183820044478465
22,Jacksonville ,1.0050563086398274,1.6307060724711937,11.436147428115325,4.329356543711368,3.346203346203351,1.8790725867555689
23,Jacksonville ,1.0050563086398274,1.6307060724711937,3.11365176607144,2.188599350582148,4.618726420487019,2.2736159991062004
24,Colorado Springs ,1.1964441021061565,1.615361935172232,-3.8020706910394417,3.8907063423843113,4.985640977355115,3.4324422622295008
25,Sacramento ,1.1594585385741043,1.5857903836269334,8.728559211708891,7.6474592868832705,3.248524839794434,1.8648236356277763
26,Bakersfield ,0.6368642491498872,1.5848182326985902,2.307307285716838,1.43172159981529,4.019540168852555,1.6270991668625407
27,Winston-Salem ,0.5719269069300505,1.5394543144649016,3.775101952846124,2.086277809099926,4.956024012285343,3.4310751600943776
28,Fort Collins ,1.140063211425584,1.5383892436106037,0.15116263980319564,2.3924998196538536,2.622568093385207,1.9720028988824116
29,Orlando ,0.5382944565114742,1.4949102775516452,3.3278824948018833,5.138451813061292,2.9581993569131835,3.2258064516129035
30,Riverside ,0.5175123007759651,1.4862988894253983,3.2989017856568013,5.9725031080676265,6.013776579814321,2.93040293040293
31,Portland ,0.5998429714352441,1.4298783793897132,2.7739152533156366,1.3400869912402886,3.699276084213329,3.1081081081081083
32,Stockton ,0.34303721103366835,1.3748133176845316,7.074338261498758,6.461692835568607,3.971848651661905,3.826564803645618
33,Durham ,1.6156936446712342,1.3419691533479334,4.379912541608007,4.404381928999503,2.9550286621632527,-0.5207699279037947
34,Phoenix ,1.5904633840482267,1.3139860272981667,4.9294343360124495,5.1311788157218965,4.15527317570103,1.1448560979487994
35,Fresno ,0.5223008468005764,1.2451653197285055,5.065537015653742,6.326239905623658,2.6864550065752395,2.3302752293577984
36,Springfield ,-0.4684796765351943,1.2147962970196478,4.084718322750265,5.8415385028637274,3.918228279386708,2.7743271221532138
37,San Jose ,-0.6055329662847027,1.162170494081494,5.020647015845032,3.5016175865380217,3.5670553159772087,3.319950586781964
38,Greensboro ,0.7442669038904244,1.0906272117555862,2.0712249221219,1.6951742358112372,2.4390243902438886,2.0091119575771224
39,Tucson ,0.5900619978049326,1.0578882740072948,6.082571189080273,2.893788378443084,3.7189054726368105,2.607431634414464
40,Springfield ,0.20472845128596925,0.9947463099081498,5.561544351121715,4.62036279250796,3.7189054726368105,2.607431634414464
41,Denver ,1.528205342994562,0.9519933004313742,6.205261406364994,7.246944943578063,3.675314465408805,4.80823199251637
42,Austin ,1.708003062955794,0.9510597522954151,1.9174430772978688,4.138736252288919,3.1316725978647684,1.495676559943912
43,Los Angeles ,0.04977881112108923,0.9137656876008902,2.6622060415231723,4.571097333787377,2.7803521779425395,2.5293586269195987
44,Houston ,0.07310531089596921,0.8887766413190201,3.5497316620414865,4.026592171821085,2.3696973417643865,2.2738180945524307
45,Cincinnati ,0.5501576368694938,0.8379943409883529,8.638645181953256,8.328493455736783,3.4982378279597848,2.698926779704077
46,North Las Vegas ,2.7002351751994103,0.7734925031947741,-1.1953765894221278,1.6298647026487276,2.1214294251225,1.5270544620001765
47,Chattanooga ,0.4842841280137205,0.7352337813664188,6.363060781476122,6.2413682260260765,3.337622647579222,3.3764619030967014
48,Richmond ,0.5300561466881306,0.7025811939106736,-2.8277495323683834,1.150780077356074,3.914191048464098,1.9384327330800104
49,El Paso ,0.2725501011215297,0.564301304919264,5.040987341416014,4.889556691051923,3.523666416228413,2.747333041063854
50,Worcester ,-0.06844331869257092,0.5419893435727074,5.078078684507174,5.6298674832129025,4.1342412451361925,1.998987100426008
51,Spokane ,1.2533510842011195,0.5335890958704257,3.012644651086467,3.5538523494423067,2.4411168304476614,2.6090919448558734
