,city,PDR1819,PDR1920,HDR1819,HDR1920,RDR1819,RDR1920
24,Colorado Springs ,1.1964441021061565,1.615361935172232,3.510441183834935,5.530324534014576,4.985640977355115,3.4324422622295008
25,Sacramento ,1.1594585385741043,1.5857903836269334,2.9114972973542406,4.9851774111235825,3.248524839794434,1.8648236356277763
26,Bakersfield ,0.6368642491498872,1.5848182326985902,2.725491394759957,5.506872284130928,4.019540168852555,1.6270991668625407
27,Winston-Salem ,0.5719269069300505,1.5394543144649016,3.9894102610918285,7.08779965435712,4.956024012285343,3.4310751600943776
28,Fort Collins ,1.140063211425584,1.5383892436106037,6.468574558400669,6.858993980206095,2.622568093385207,1.9720028988824116
29,Orlando ,0.5382944565114742,1.4949102775516452,5.351144695831558,7.019363581871726,2.9581993569131835,3.2258064516129035
30,Riverside ,0.5175123007759651,1.4862988894253983,4.304603669089657,0.2230941160429246,6.013776579814321,2.93040293040293
31,Portland ,0.5998429714352441,1.4298783793897132,3.170818304324315,6.877817853922452,3.699276084213329,3.1081081081081083
32,Stockton ,0.34303721103366835,1.3748133176845316,6.15037238061529,8.912706477773133,3.971848651661905,3.826564803645618
33,Durham ,1.6156936446712342,1.3419691533479334,-4.750752814211519,5.469585816903565,2.9550286621632527,-0.5207699279037947
34,Phoenix ,1.5904633840482267,1.3139860272981667,3.0426644999580947,5.511994902514097,4.15527317570103,1.1448560979487994
35,Fresno ,0.5223008468005764,1.2451653197285055,1.221053981928949,4.4329913537230565,2.6864550065752395,2.3302752293577984
36,Springfield ,-0.4684796765351943,1.2147962970196478,5.336374572467814,3.4560452401407504,3.918228279386708,2.7743271221532138
37,San Jose ,-0.6055329662847027,1.162170494081494,5.392145352079604,6.8236516792473525,3.5670553159772087,3.319950586781964
38,Greensboro ,0.7442669038904244,1.0906272117555862,5.876975899048007,4.875216720482274,2.4390243902438886,2.0091119575771224
39,Tucson ,0.5900619978049326,1.0578882740072948,3.0328805212642966,2.797702286885908,3.7189054726368105,2.607431634414464
40,Springfield ,0.20472845128596925,0.9947463099081498,3.0328805212642966,2.797702286885908,3.7189054726368105,2.607431634414464
41,Denver ,1.528205342994562,0.9519933004313742,5.891727686971503,7.8082220410893015,3.675314465408805,4.80823199251637
42,Austin ,1.708003062955794,0.9510597522954151,7.6701631002623065,5.450350831639616,3.1316725978647684,1.495676559943912
43,Los Angeles ,0.04977881112108923,0.9137656876008902,5.122029621662224,6.0965928576014985,2.7803521779425395,2.5293586269195987
44,Houston ,0.07310531089596921,0.8887766413190201,0.01617114111509351,5.5966036414565785,2.3696973417643865,2.2738180945524307
45,Cincinnati ,0.5501576368694938,0.8379943409883529,4.885600860987559,3.480973416310392,3.4982378279597848,2.698926779704077
46,North Las Vegas ,2.7002351751994103,0.7734925031947741,4.598338530630478,5.553443140837159,2.1214294251225,1.5270544620001765
47,Chattanooga ,0.4842841280137205,0.7352337813664188,5.785508863912287,5.586055973876978,3.337622647579222,3.3764619030967014
48,Richmond ,0.5300561466881306,0.7025811939106736,4.059685249094268,3.0904801554260404,3.914191048464098,1.9384327330800104
49,El Paso ,0.2725501011215297,0.564301304919264,4.821346845108085,6.638239200138222,3.523666416228413,2.747333041063854
50,Worcester ,-0.06844331869257092,0.5419893435727074,6.6339770123553965,7.644006227296315,4.1342412451361925,1.998987100426008
51,Spokane ,1.2533510842011195,0.5335890958704257,3.7836493283953465,6.470208090991335,2.4411168304476614,2.6090919448558734
