,Unnamed: 0,City,State,2018 Population,2019 Population,2020 Population,2018-2019 Population Rate,2019-2020 Population Rate,Diff in Pop Rate 2018-2020
68,68,Miramar ,FL,140564,141191,143219,0.4460601576506075,1.4363521754219462,0.9902920177713386
93,93,Baltimore ,MD,602443,593490,590479,-1.4861156989125943,-0.5073379500918297,0.9787777488207646
40,40,Riverside ,CA,329654,331360,336285,0.5175123007759651,1.4862988894253983,0.9687865886494332
124,124,Winston-Salem ,NC,246535,247945,251762,0.5719269069300505,1.5394543144649016,0.967527407534851
180,180,Madison ,WI,257854,259680,264030,0.7081526755450759,1.6751386321626618,0.9669859566175859
69,69,Orlando ,FL,285903,287442,291739,0.5382944565114742,1.4949102775516452,0.956615821040171
15,15,Bakersfield ,CA,381714,384145,390233,0.6368642491498872,1.5848182326985902,0.9479539835487031
105,105,Lincoln ,NE,286930,289102,293905,0.7569790541246995,1.6613513569605192,0.9043723028358197
153,153,Frisco ,TX,188452,200490,215060,6.38783350667544,7.267195371340216,0.8793618646647765
30,30,Los Angeles ,CA,3977596,3979576,4015940,0.04977881112108923,0.9137656876008902,0.8639868764798009
100,100,St. Paul ,MN,306960,308096,311895,0.3700807922856398,1.2330572289156627,0.862976436630023
166,166,San Antonio ,TX,1530016,1547253,1578030,1.1265895258611676,1.989138169387941,0.8625486435267735
80,80,Joliet ,IL,147730,147344,148227,-0.2612874839233737,0.5992778803344554,0.860565364257829
133,133,Portland ,OR,650837,654741,664103,0.5998429714352441,1.429878379389713,0.8300354079544688
29,29,Long Beach ,CA,465865,462628,463218,-0.6948364869651079,0.12753227214954566,0.8223687591146536
14,14,Anaheim ,CA,350698,350365,352911,-0.09495349274874679,0.7266707576384628,0.8216242503872095
156,156,Houston ,TX,2318573,2320268,2340890,0.07310531089596921,0.8887766413190201,0.815671330423051
162,162,McKinney ,TX,191748,199177,208487,3.8743559254855326,4.674234474864066,0.799878549378533
145,145,Arlington ,TX,398123,398854,402762,0.18361159742089755,0.9798071474775232,0.7961955500566256
104,104,Springfield ,MO,167539,167882,169552,0.20472845128596925,0.9947463099081498,0.7900178586221805
22,22,Fresno ,CA,528814,531576,538195,0.5223008468005764,1.2451653197285055,0.7228644729279291
119,119,Charlotte ,NC,872514,885708,905318,1.5121820394858994,2.2140479706630174,0.701865931177118
34,34,Oceanside ,CA,175758,175742,176950,-0.009103426302074443,0.6873712601427092,0.6964746864447836
113,113,Paterson ,NJ,145594,145233,145871,-0.24794977815019847,0.43929409982579715,0.6872438779759956
165,165,Plano ,TX,288747,287677,288539,-0.37056662060558204,0.29964161194673194,0.670208232552314
123,123,Raleigh ,NC,469314,474069,481958,1.0131809406921592,1.6641037486104344,0.6509228079182752
152,152,Fort Worth ,TX,893216,909585,932116,1.832591444846487,2.4770637158704245,0.6444722710239374
99,99,Minneapolis ,MN,424903,429606,437069,1.106840855442301,1.7371731307290867,0.6303322752867857
66,66,Jacksonville ,FL,902437,911507,926371,1.0050563086398274,1.6307060724711935,0.6256497638313661
38,38,Pomona ,CA,151925,151691,152405,-0.1540233667928254,0.47069371287683515,0.6247170796696606
96,96,Worcester ,MA,185555,185428,186433,-0.06844331869257093,0.5419893435727074,0.6104326622652784
19,19,Escondido ,CA,151793,151625,152245,-0.11067704044323519,0.4089035449299258,0.519580585373161
116,116,New York ,NY,8390081,8336817,8323340,-0.6348448840958747,-0.16165642114970258,0.4731884629461721
12,12,Tucson ,AZ,544858,548073,553871,0.5900619978049326,1.0578882740072948,0.46782627620236217
135,135,Philadelphia ,PA,1583592,1584064,1591800,0.02980565701266488,0.48836410650074746,0.4585584494880826
42,42,Sacramento ,CA,507737,513624,521769,1.1594585385741043,1.5857903836269334,0.42633184505282906
125,125,Akron ,OH,197884,197597,198148,-0.14503446463584727,0.2788503874046671,0.4238848520405144
86,86,Kansas City ,KS,152965,152960,153600,-0.003268721602981074,0.41841004184100417,0.42167876344398525
55,55,Colorado Springs ,CO,472567,478221,485946,1.1964441021061563,1.6153619351722321,0.4189178330660759
57,57,Fort Collins ,CO,168324,170243,172862,1.140063211425584,1.5383892436106037,0.3983260321850197
108,108,Las Vegas ,NV,643228,651319,662000,1.2578743462660207,1.6399030275487128,0.3820286812826921
122,122,Greensboro ,NC,294518,296710,299946,0.7442669038904244,1.0906272117555862,0.3463603078651618
170,170,Chesapeake ,VA,242359,244835,248106,1.0216249448132728,1.3360017971286786,0.3143768523154058
0,0,Birmingham ,AL,210487,209403,208940,-0.5149961755357814,-0.22110475972168497,0.2938914158140964
151,151,El Paso ,TX,679875,681728,685575,0.27255010112152966,0.564301304919264,0.29175120379773434
126,126,Cincinnati ,OH,302277,303940,306487,0.5501576368694938,0.8379943409883529,0.2878367041188591
79,79,Chicago ,IL,2701423,2693976,2694240,-0.27566952676422757,0.009799641867633564,0.2854691686318611
147,147,Brownsville ,TX,182333,182781,183748,0.2457042883076569,0.5290484240703356,0.2833441357626787
7,7,Peoria ,AZ,172263,175961,180219,2.146717519142242,2.4198543995544464,0.2731368804122045
81,81,Naperville ,IL,148090,148449,149196,0.2424201499088392,0.5032031202635248,0.26078297035468556
179,179,Vancouver ,WA,182887,184463,186516,0.8617342949471531,1.112960322666334,0.2512260277191809
139,139,Chattanooga ,TN,181918,182799,184143,0.48428412801372045,0.7352337813664188,0.25094965335269837
18,18,Elk Grove ,CA,172603,174775,177406,1.2583790548252347,1.5053640394793306,0.2469849846540959
43,43,Salinas ,CA,155647,155465,155619,-0.11693126112292558,0.09905766571253981,0.2159889268354654
159,159,Laredo ,TX,260856,262491,264703,0.6267825926948202,0.8426955590858354,0.2159129663910152
91,91,New Orleans ,LA,391004,390144,390128,-0.2199465990117748,-0.004101049868766404,0.21584554914300838
50,50,Santa Rosa ,CA,176750,176753,177132,0.0016973125884016975,0.2144235175640583,0.2127262049756566
112,112,Newark ,NJ,281752,282011,282862,0.0919248133109969,0.30176127881536535,0.20983646550436846
59,59,Thornton ,CO,139352,141464,143890,1.5155864286124345,1.7149239382457728,0.1993375096333383
9,9,Scottsdale ,AZ,254479,258069,262222,1.4107254429638596,1.6092595391155078,0.1985340961516482
161,161,McAllen ,TX,142530,143268,144279,0.5177857293201431,0.7056704916659687,0.18788476234582563
115,115,Buffalo ,NY,255781,255284,255244,-0.1943068484367486,-0.015668823741401734,0.17863802469534687
173,173,Richmond ,VA,229221,230436,232055,0.5300561466881306,0.7025811939106736,0.17252504722254303
