,City,State,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30
596,Cortland,NY,122736.0,123388.0,124044.0,124565.0,125010.0,125467.0,125943.0,126481.0,126784.0,127106.0,127353.0,127931.0,128455.0,128769.0,128986.0,129243.0,129706.0,130226.0,130697.0,131183.0,131619.0,132129.0,132618.0,132791.0,132950.0,133175.0,133435.0,133671.0,133757.0,133741.0,133697.0
597,Clinton,IA,129618.0,130249.0,130797.0,131152.0,131247.0,131565.0,131872.0,132270.0,132523.0,132812.0,133039.0,133413.0,133663.0,134265.0,134582.0,134896.0,134937.0,135307.0,135901.0,136596.0,137152.0,137567.0,137800.0,137975.0,138118.0,137923.0,137884.0,137879.0,138140.0,137975.0,137534.0
598,Del Rio,TX,121378.0,121767.0,122152.0,122551.0,122864.0,123151.0,123415.0,123696.0,123998.0,124327.0,124775.0,125409.0,126052.0,126750.0,127370.0,127925.0,128400.0,128820.0,129218.0,129682.0,130045.0,130344.0,130529.0,130583.0,130658.0,130638.0,130653.0,130692.0,130789.0,130887.0,130953.0
599,Clovis,NM,135358.0,135769.0,136135.0,136559.0,136604.0,136791.0,136914.0,137177.0,137435.0,137552.0,137842.0,138182.0,138831.0,139431.0,140099.0,140610.0,141201.0,141669.0,142233.0,142775.0,143253.0,143834.0,144354.0,144955.0,145489.0,145962.0,146437.0,147044.0,147744.0,148534.0,149312.0
600,Norfolk,NE,141468.0,142347.0,143341.0,144249.0,144998.0,145636.0,146308.0,147056.0,148065.0,149104.0,150145.0,150876.0,151495.0,152196.0,152996.0,153741.0,154423.0,155081.0,155740.0,156409.0,156652.0,156844.0,156906.0,157241.0,157587.0,157845.0,157900.0,157961.0,158068.0,158160.0,158154.0
601,Washington,NC,134777.0,135137.0,135433.0,136151.0,136656.0,137312.0,137819.0,138270.0,138847.0,139322.0,140075.0,140407.0,140766.0,141018.0,141478.0,141817.0,142098.0,142453.0,142809.0,143307.0,143450.0,143648.0,143751.0,144168.0,144655.0,145064.0,145320.0,145487.0,145768.0,145881.0,146000.0
602,Corsicana,TX,103081.0,103625.0,104111.0,104490.0,104868.0,105223.0,105623.0,106017.0,106420.0,106741.0,107077.0,107534.0,108048.0,108620.0,109066.0,109559.0,109992.0,110496.0,110917.0,111334.0,111609.0,111927.0,112220.0,112346.0,112401.0,112358.0,112421.0,112452.0,112498.0,112471.0,112418.0
603,Freeport,IL,83146.0,83492.0,83799.0,84007.0,84270.0,84566.0,84855.0,84847.0,85011.0,85290.0,85825.0,86072.0,86367.0,86571.0,86939.0,87148.0,87346.0,87466.0,87645.0,87987.0,88246.0,88548.0,88748.0,89092.0,89305.0,89494.0,89530.0,89661.0,89765.0,89912.0,90032.0
604,Starkville,MS,169115.0,169085.0,169682.0,169971.0,170487.0,170731.0,170755.0,171689.0,172184.0,173051.0,172927.0,173588.0,174189.0,174834.0,174877.0,174945.0,174940.0,175309.0,175638.0,174884.0,174232.0,173480.0,174037.0,174125.0,174174.0,173825.0,173605.0,173437.0,173196.0,172773.0,172402.0
605,Burlington,IA,94809.0,95144.0,95451.0,95644.0,95774.0,95711.0,95709.0,95709.0,95935.0,96085.0,96402.0,96722.0,97053.0,97255.0,97489.0,97725.0,97964.0,98268.0,98565.0,98880.0,98974.0,99099.0,99077.0,99046.0,98968.0,98983.0,98960.0,98953.0,98939.0,98921.0,98854.0
606,Cadillac,MI,108386.0,109710.0,110935.0,112113.0,112912.0,113663.0,114284.0,114935.0,115665.0,116457.0,117352.0,118479.0,119723.0,120498.0,121054.0,121396.0,121988.0,122360.0,122781.0,123198.0,123468.0,123663.0,123701.0,123426.0,123013.0,122779.0,122732.0,122801.0,122795.0,122926.0,123002.0
607,Ardmore,OK,85373.0,84759.0,85112.0,85379.0,85570.0,85745.0,85992.0,86217.0,86412.0,86647.0,86808.0,87494.0,88129.0,88911.0,89335.0,89855.0,90293.0,90708.0,91001.0,91338.0,91821.0,92349.0,92960.0,93466.0,93986.0,94435.0,94775.0,95092.0,95522.0,96003.0,96598.0
608,Kendallville,IN,123209.0,124005.0,124734.0,125524.0,126261.0,127045.0,127710.0,128301.0,128988.0,129707.0,130599.0,131414.0,132242.0,133026.0,133868.0,134698.0,135517.0,136240.0,136844.0,137415.0,137808.0,138253.0,138758.0,139275.0,139745.0,140068.0,140356.0,140638.0,140928.0,141245.0,141645.0
609,Nogales,AZ,151753.0,152572.0,153245.0,153785.0,154287.0,154833.0,155370.0,155876.0,156575.0,157394.0,158209.0,158796.0,159352.0,159946.0,160470.0,161112.0,161639.0,162417.0,163194.0,164112.0,164849.0,165437.0,166016.0,166793.0,167560.0,168309.0,169183.0,170028.0,170952.0,171669.0,172408.0
610,Oxford,MS,190409.0,191252.0,192213.0,193237.0,194091.0,194751.0,195399.0,196081.0,196775.0,197313.0,197976.0,198988.0,200200.0,201313.0,202007.0,202418.0,202929.0,203678.0,204660.0,205505.0,206221.0,207026.0,207634.0,207910.0,207984.0,208038.0,208315.0,208695.0,208983.0,209058.0,208886.0
