,City,State,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20
236,Mesquite,TX,189108,189514,190280,191034,191953,192939,194104,194978,196070
237,Renton,WA,499432,504341,509023,513511,517026,521568,526980,534391,541987
238,Metairie,LA,267784,269275,270723,272839,274104,275471,276630,278158,280452
239,Santa Maria,CA,407575,409443,411845,415463,418833,420709,421830,424588,429263
240,Torrance,CA,850011,856123,862076,866676,868074,868638,874717,883015,892423
241,Clearwater,FL,205560,207629,209808,211560,212891,214340,215954,218408,221179
242,Fullerton,CA,670218,674358,678717,681642,682612,683365,685928,691696,696914
243,McAllen,TX,144592,145488,146330,146968,147413,148095,148934,150091,151280
244,Orange,CA,718524,722906,727590,731098,732408,733734,736883,743781,750450
245,Compton,CA,428413,433251,438131,442081,444567,446791,451273,457493,464520
246,Hampton,VA,179879,180593,182364,184099,185712,187309,188758,190514,192159
247,Bellevue,WA,920016,927804,935341,943445,949544,958016,968907,982662,997205
248,Inglewood,CA,586275,593018,598980,604870,608333,611575,617946,627430,638495
249,Kent,WA,425365,429557,433702,437922,441224,445548,450531,457390,464331
250,West Valley City,UT,311065,312687,314878,317358,320609,323783,327285,331082,335210
251,Olathe,KS,280340,281287,282692,284737,287201,289579,292149,294581,297250
252,Warren,MI,141619,142466,143564,144864,145648,146151,146775,148613,150589
253,Miramar,FL,325305,326899,328155,329955,331993,333813,334375,335423,336850
254,Thornton,CO,398544,399749,401878,403776,406579,408363,410672,413499,417409
255,Abilene,TX,142142,142733,143328,143848,144406,145204,146140,146862,147774
256,Billings,MT,257172,258149,259252,261279,263978,264059,265122,265758,270202
257,Concord,CA,533578,532295,534517,538371,539085,541119,546073,555243,564104
258,Cedar Rapids,IA,146534,146667,146738,146696,147350,148091,148861,149289,149800
259,Bloomington,IN,222777,223836,224614,225428,226565,227755,229127,230614,232313
260,Boulder,CO,762093,761831,762141,762008,762234,762301,763731,766364,770097
261,Sterling Heights,MI,216848,218087,219587,221208,221948,222371,222980,225646,228474
262,Saginaw,MI,68264,68546,69189,69909,70755,71417,72334,73196,74320
263,Carrollton,TX,289748,290461,291792,293301,294694,296107,297802,299673,301817
264,Coral Springs,FL,321493,323243,324673,326532,328182,329645,330266,331591,333581
265,Thousand Oaks,CA,743141,743783,743949,745130,747938,751611,757131,763663,772779
266,Victorville,CA,268352,269908,271558,273505,274308,275759,278041,281454,284875
267,Roseville,CA,484823,487335,489713,491915,492639,494866,498262,502817,507980
268,Surprise,AZ,275735,277577,279811,282851,285645,288162,290579,293774,297542
269,New Haven,CT,185738,186746,187994,189148,190087,191438,193721,196969,201056
270,Hamilton,OH,182288,182748,183446,184783,186619,188565,190285,192060,194166
271,Waco,TX,143337,144325,145579,147000,148036,149027,149979,151413,152661
272,Simi Valley,CA,597244,599082,600560,602746,605640,609181,613605,618302,625000
273,Stamford,CT,472941,472955,473506,473148,473376,475181,478117,482659,486816
274,Pearland,TX,279547,279299,279110,278985,279032,279120,279435,280129,280989
275,Elizabeth,NJ,313252,314708,315799,318990,321670,324072,325085,327586,329366
276,Denton,TX,251088,252064,253692,255275,256517,257711,259246,261069,263061
277,Santa Fe,NM,405543,405495,406585,407666,408358,408855,410786,413562,416113
278,Gainesville,GA,223807,224978,226165,227281,228746,230375,232012,233706,235649
279,Springfield,IL,114394,114516,114664,114777,114884,115134,115433,115787,115960
280,Allentown,PA,172330,173404,174951,175919,176374,176496,176934,177993,179333
281,Lake Charles,LA,215205,215756,216348,215938,214638,213351,213147,213904,214145
282,Flint,MI,27846,28057,28569,29083,29480,29789,30110,30616,31143
283,Frederick,MD,318223,318547,319212,320523,322320,323967,326061,328673,331580
284,Hartford,CT,116516,116862,117607,118219,119485,120382,121445,122907,124556
285,Murrieta,CA,452686,453597,454180,456278,459428,462727,466592,471765,478260
286,Temecula,CA,493638,494523,495063,497313,500580,504065,508331,514003,521152
287,Hemet,CA,280487,281469,282188,283734,285822,287950,290255,293252,296833
288,East Los Angeles,CA,489631,494640,499455,503639,506014,508601,513653,520158,526648
289,Joliet,IL,150406,150957,151693,152213,152765,153080,153816,154690,156216
290,Vallejo,CA,431766,433293,435304,436277,437784,438916,438820,439790,442330
291,Santa Clara,CA,1189980,1203366,1217936,1224507,1228191,1235792,1250658,1276411,1297427
292,Concord,NC,239415,240938,242068,243660,245129,246624,248497,250373,252156
293,Town Of Amherst,NY,245623,246263,246906,248329,249524,251014,252652,255345,259061
294,Athens,GA,197696,199969,201770,203308,204735,206225,207929,209990,211813
295,Falls Church,VA,594032,595890,597168,600295,603230,607570,611837,616952,621614
296,Norman,OK,173805,174405,175261,176303,177291,178269,179208,180386,181662
297,Wilmington,DE,210434,210355,210418,211173,212814,215047,217276,219637,222027
298,Nampa,ID,252086,254089,255458,257587,260699,264415,268898,273914,279613
299,Berkeley,CA,1322716,1330758,1337399,1338997,1336839,1332442,1331733,1338127,1343120
300,Westminster,CO,403701,405120,406959,408713,411524,413496,416172,419388,423554
301,Clovis,CA,356581,357532,359069,361547,363955,365451,368156,372214,377776
302,Rochester,MN,247603,248752,249673,250566,252156,253811,255030,255667,256288
303,Stone Mountain,GA,171793,172918,174161,175328,176466,177980,179818,182007,184591
304,Summerville,SC,238414,239117,239723,240353,241023,242146,243650,245413,247338
305,Vista,CA,546094,549235,552846,555362,558671,561457,565006,570747,578962
306,Broken Arrow,OK,181184,182270,183396,184710,185929,187279,188621,190085,191481
307,Richmond,CA,542863,543047,544816,547698,548427,550025,556245,567501,579964
308,Arvada,CO,451719,453758,455956,457954,461190,463654,467238,471510,476824
309,Charlottesville,VA,352153,352822,353343,353639,354172,354817,355372,355956,356506
310,Independence,MO,130986,131583,132856,133839,134824,135756,137018,138865,140831
311,Tuscaloosa,AL,165255,165431,165643,165895,166260,167043,167903,168562,168981
312,Provo,UT,300669,303044,305654,307852,309888,311783,314021,316769,320130
313,New Port Richey,FL,169835,170626,172059,173487,174719,175883,177328,179169,181073
314,Spartanburg,SC,136717,137232,137865,138652,139601,140566,141591,142608,143646
315,Bellingham,WA,457168,459162,460879,463345,466688,468620,471345,475753,480799
316,Melbourne,FL,227722,228693,230460,231786,233311,234621,236033,238450,241049
317,Costa Mesa,CA,855923,861518,867101,871077,872330,873872,877766,885288,891407
318,Sparks,NV,362870,364305,366189,367946,369426,370135,372539,376304,380612
319,Bend,OR,454695,458989,461503,465588,467416,469918,471255,474738,479616
320,El Monte,CA,504373,508917,513297,517079,518479,519741,523926,530417,537538
321,College Station,TX,241392,242028,242854,243771,244846,246140,247533,248624,249659
322,Miami Gardens,FL,268319,270584,272425,274161,275965,277714,279603,281479,283646
323,Chico,CA,394625,389282,386525,385878,385886,385678,387100,390014,393653
324,Downey,CA,584308,589886,594972,599364,601144,602739,607170,613755,620273
325,Tracy,CA,527243,529648,530920,533993,535306,536023,539770,544672,552685
326,Ventura,CA,600115,600467,601144,603075,606265,609500,614288,619198,625815
327,North Charleston,SC,186473,187643,188786,189769,190929,192350,193870,195477,197366
328,Lewisville,TX,283515,284342,285879,287422,288717,290027,291809,293803,295737
329,West Covina,CA,564849,569304,573914,577816,579325,580474,585231,592184,600101
330,Rock Hill,SC,184268,186996,190228,193808,198298,202792,207084,211030,214819
331,Bowling Green,KY,177929,178086,178403,178577,178813,178927,179314,179740,179790
332,Yakima,WA,244929,248029,251024,253761,255791,256982,258115,259525,262357
333,Redding,CA,294209,294472,294742,296095,297060,297566,299049,301958,305704
334,Manchester,NH,259619,261505,263991,266618,268556,270528,272701,275803,279758
335,Saint Augustine,FL,289890,290217,290574,291010,291619,292502,293347,294549,296220
336,Delray Beach,FL,226098,227248,228166,228991,229292,230023,231179,232900,235179
337,Lowell,MA,308499,310142,312155,313619,314976,315933,317777,320699,323379
338,Waterbury,CT,136632,137771,138859,139841,140742,141713,143376,145586,149010
339,West Palm Beach,FL,243912,245088,246193,247250,247824,248652,250028,251969,254564
340,Carlsbad,CA,878332,882926,888199,891844,896909,900806,906106,914403,926608
341,Elgin,IL,213393,212922,213204,213738,214432,215123,215847,216927,218026
342,Santa Barbara,CA,1129363,1133826,1140699,1150792,1160065,1165094,1171326,1181911,1198701
343,Laurel,MD,344093,345242,346649,347669,349058,350672,353535,356746,360346
344,Cambridge,MA,830615,831401,834881,836361,836329,834199,834123,840205,845116
345,Fargo,ND,232072,231981,232055,232806,233846,234969,235828,236612,237395
346,West Jordan,UT,366123,368036,370603,373179,376863,380356,384192,388182,392631
347,Greenville,NC,138687,139441,140270,141006,141911,142703,143711,144689,145812
348,Manassas,VA,387838,389485,390189,392232,394595,397961,401037,405147,410601
349,Hillsboro,OR,397178,398308,401045,402763,404506,405273,406873,409145,413325
350,Green Bay,WI,149745,150691,151577,152739,153924,155136,156403,158153,160350
351,Palm Bay,FL,184628,185507,186938,188274,189642,190818,191997,194147,196528
352,Richardson,TX,312296,311906,312510,313942,315807,317701,319689,321219,323239
353,West Chester,PA,426735,427271,428638,431135,433648,435013,436150,438011,441515
354,Norwalk,CA,494304,498784,503182,506954,508808,510523,514782,520839,527450
355,Vero Beach,FL,229149,231180,232877,234370,235074,236364,237850,239397,240536
356,Peoria,IL,86652,86726,86871,86991,87079,87287,87786,88468,88995
357,Centennial,CO,483513,484990,486152,487495,489445,491845,493846,497172,500395
358,Douglasville,GA,189716,191057,193020,194134,195441,196421,197655,199221,201089
359,Antioch,CA,450394,450781,453016,456355,457166,457809,459797,465750,471844
360,Perris,CA,337241,338452,339365,341210,343573,346010,348743,352312,356718
361,Springfield,VA,528975,530544,531506,534437,537235,541690,546090,551439,555923
362,Fairfield,CA,470760,472608,475160,476166,477844,479176,479316,480408,483442
363,Davenport,IA,135555,136083,136627,137251,137639,137925,138269,138434,138326
