,City,State,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20
16389,Princeton,MO,50261,50591,50728,50903,50961,51125,51323,51580,51935
16390,Franklin,VT,170640,171009,171320,170945,170607,170395,170872,170723,169808
16391,Gumspring,VA,221935,222156,222260,222380,222841,223396,223871,224113,224421
16392,Elburn,IL,295099,294011,294264,294756,295451,296249,297065,298386,299588
16393,Wilmer,TX,133022,134852,135997,136306,136546,137289,137724,138188,139030
16394,Youngstown,NY,206703,207533,208290,208963,209233,209668,210894,212479,214886
16395,Mount Nebo,WV,68166,68432,68786,69028,69080,69046,69002,69204,69346
16396,Southside,TN,247805,249111,250012,249068,248754,249258,252258,254109,256167
16397,Pewamo,MI,169151,170444,172269,173422,174955,174655,174354,174280,176147
16398,Sellers,SC,42032,42307,42656,43300,43751,44101,44227,44413,45074
16399,Forada,MN,187413,187609,187815,187931,188275,188929,189259,189555,189502
16400,Fayette,IA,115246,115199,115072,114707,113749,112718,111827,111531,111224
16401,Milo,ME,49708,49942,50012,50276,50471,50578,50474,50263,50416
16402,East Lynne,MO,120203,119289,119301,120261,121143,122636,124075,125647,126065
16403,Gunn City,MO,92612,93084,93616,94727,96179,98029,99321,100704,101472
16404,Alpha,MI,62955,61751,60362,59228,58520,58141,57773,57261,56980
16405,Ramsey,IN,152525,152784,152973,153301,153716,154142,154483,154803,155085
16406,Kenansville,FL,211967,210933,210760,209889,209613,210217,211558,213391,215129
16407,Mullica Hill,NJ,348884,349033,349269,349780,351653,353556,356367,359556,363793
16408,Crofton,NE,134759,136294,136942,136902,137210,137789,138806,139664,140755
16409,Bertrand,NE,141097,141428,141896,142084,141893,141602,141230,140939,140659
16410,Ralph,AL,176236,176154,176525,177195,177720,178461,179047,180017,180520
16411,Lime Springs,IA,127348,127771,128105,128297,128485,128457,128630,128560,128486
16412,Ephraim,WI,257560,260055,262036,263409,266412,269231,273385,276896,279544
16413,Hardin,MO,71295,72232,72920,73403,73626,73766,74008,73969,73919
16414,Wykoff,MN,228998,228795,228832,229340,230396,231550,232441,233077,234068
16415,Mount Vernon,OR,183063,183276,183995,184206,185197,185711,185708,185470,183874
16416,Elmer,LA,150146,150567,150418,150653,150802,151119,151774,152195,152852
16417,Stonefort,IL,109441,109281,108570,107292,106029,104476,103008,102294,103554
16418,Kanawha,IA,68667,68611,68516,68547,68594,68632,68781,68777,68691
16419,Buxton,NC,266433,267964,269603,271403,272980,273856,274058,273978,273937
16420,Wall,SD,166837,166403,165363,164261,164158,163730,162567,161090,160549
16421,Poplar Branch,NC,224108,224794,225636,226442,227282,228091,228585,228596,228338
16422,Waymart,PA,168949,169253,169483,169899,170648,171227,171744,172035,172537
16423,Plantation Mobile Home Park,FL,210928,210861,212741,215350,218492,219830,221504,223802,226813
16424,Reddick,IL,135347,135769,136445,136724,137029,137388,138419,139463,140259
16425,West Manchester,OH,77990,78009,77763,77436,77275,77481,77759,78190,78373
16426,Kingston,MN,138679,138881,138959,139070,139297,139201,138727,138278,137944
16427,Coffee City,TX,139446,139071,139127,139382,138820,138284,137409,137930,139773
16428,Currie,MN,55167,55116,55146,55571,55956,56606,56973,57467,57759
16429,Elk Creek,VA,129952,130229,130542,130979,131337,131482,131614,131631,131848
16430,Bowersville,OH,81549,82390,82949,83420,83877,84789,85742,86505,87382
16431,Barker Heights,NC,180139,180644,182699,184847,188345,190616,193196,195740,198716
16432,Kettlersville,OH,83049,83827,84395,84844,85298,85494,85592,85548,86518
16433,Juniata Township,PA,169635,169908,170226,170589,171128,171435,171859,172656,173934
16434,Diamond,IL,218655,219009,219276,219537,219278,219031,218749,218626,218501
16435,Lewistown,MO,116096,116373,117181,117788,118011,117686,117904,118318,119159
16436,Lushton,NE,66985,67102,67267,67147,67269,67010,67857,69323,71744
16437,Zanesfield,OH,116244,116650,116831,116708,117058,117747,118650,119265,119926
16438,Fairview Lanes,OH,146066,146466,146860,146583,146901,146886,146884,146386,145401
16439,Milbridge,ME,143299,143731,144192,144276,144932,145766,146627,147266,146767
16440,Glenbeulah,WI,164689,165792,166881,167419,167909,168690,169722,170259,171246
16441,Valley Hi,OH,109927,110546,111290,111458,112016,112779,114240,115361,116332
16442,Bonfield,IL,215932,217055,218392,219514,219905,220072,220232,220416,220876
16443,Dunkirk,OH,99234,99393,99559,99646,99926,100321,100555,100550,100342
16444,Henrico,NC,365200,365209,365574,365873,366260,366710,367059,367464,367727
16445,Adams,OR,255636,255799,256286,255882,255398,255112,256463,258338,259703
16446,Trezevant,TN,64292,64605,65004,65295,65264,65127,64964,64835,64824
16447,Cornish,ME,221299,223433,223788,224872,225229,225659,226252,228276,231135
16448,Tyndall,SD,113718,113400,113004,112528,112323,111883,111295,110256,109234
16449,Yolo,CA,319649,324713,327956,330887,333829,338330,341594,344947,349193
16450,Turners Station,KY,138746,138678,138633,138830,139012,138111,137113,136372,136361
16451,Vossburg,MS,77788,77861,77829,77817,77815,77917,77974,77967,77950
16452,White,SD,104916,105467,105870,106626,106765,107494,107785,108565,109440
16453,Sunbury,NC,105401,105025,104775,104524,104372,103774,103160,102726,102983
16454,Black Springs,AR,51437,51646,51834,51759,51636,51908,52097,52597,52784
16455,Drain,OR,197726,198876,199541,201048,202415,203961,205425,206796,208399
16456,Pinola,MS,85433,86268,87283,87555,87891,87920,88152,88306,89123
16457,Tuscarora Township,PA,128337,128639,129096,129492,130081,130512,131180,132076,133475
16458,Cutler,IN,172692,172878,173313,173762,174293,174719,175062,175411,175748
16459,Etoile,TX,118906,118951,119066,119243,119744,120413,120920,121607,122056
16460,Lasara,TX,53843,54125,54510,54654,54656,54586,54826,54853,54822
16461,Verden,OK,76670,77172,77527,78065,78492,78756,78741,78979,79328
16462,Leesville,OH,36635,36744,37155,37388,37793,38087,38525,38873,39198
16463,Landisburg,PA,189435,190346,191589,192513,193126,193679,194074,194454,194918
16464,Ogema,WI,105665,105995,106286,106538,106756,107086,107123,107297,107672
16465,Dowell,MD,349646,350363,351542,353470,354855,356172,356894,357675,358243
16466,Sheldon,MO,82979,83742,84375,84952,85369,85483,86198,86672,87211
16467,Frankfort,KS,98792,97896,97346,97457,98290,99391,100423,101256,101485
16468,Atwood,IL,92862,93264,93557,93752,93661,93595,93505,93683,93924
16469,Bloomington Springs,TN,146903,147602,147757,148142,148396,149066,150045,151433,152840
16470,Frankford,MO,132031,132523,132503,132668,133050,133004,133040,132341,132611
16471,Ipava,IL,60195,60076,60138,60092,59999,60213,60201,60508,60707
16472,Thurston,NY,101587,101894,101899,101925,101700,101921,101369,100985,100464
16473,Stewardson,IL,98684,99453,99805,100141,101066,102020,102803,102866,103342
16474,Coaldale,CO,279816,283778,286651,289960,292732,294404,297328,301871,307549
16475,Houston,AL,197063,197878,197586,197333,197401,198037,198543,199143,199786
16476,Laconia,IN,149698,149581,149648,149661,149472,149004,148559,148582,148394
16477,De Valls Bluff,AR,65425,65960,66498,67013,67385,67720,68078,68557,68812
16478,Louisville,KS,87129,87773,87483,86998,85826,84210,82906,81590,80397
16479,Winter,WI,119314,119863,120743,121734,122196,122938,123678,124522,124864
16480,Trego,WI,158843,158094,157571,157973,158390,158412,158528,158712,159213
16481,Culdesac,ID,214847,215487,215905,216400,217069,218157,219031,219425,219717
16482,Brandon,MN,142107,142002,141887,141812,141924,141973,142090,142179,142604
16483,Coney Island,MO,159185,159435,159437,159823,159989,160234,160207,160646,160798
16484,Shannon Hills,AR,177903,177679,178141,178833,179766,180587,181309,182678,184049
16485,Jack,AL,91176,90943,90776,90403,90514,90796,91291,91434,91458
16486,Joseph City,AZ,126144,126608,127175,128701,129492,130218,130714,130765,131409
16487,Worthing,SD,179277,179216,178945,178951,179008,178596,178209,178055,178351
16488,Summerhill,NY,136366,137087,137378,137605,137518,139019,140970,142658,143574
16489,Schuylerville,NY,159800,159214,158997,158608,158712,158036,159086,160419,162427
16490,Boomer,NC,89468,89424,89858,90668,91422,92029,92461,92979,93145
16491,Morley,MO,74035,74173,75070,75874,76761,77246,77495,77322,77214
16492,Mt Pleasant Township,PA,219839,219873,219925,220646,220734,220679,219983,219580,219274
16493,Evergreen,LA,79331,79901,80462,81078,81119,81632,81840,82822,82966
16494,Ohio,IL,91330,91564,91502,91506,91596,91753,92052,92172,92367
16495,Napoleon,IN,123036,124343,125408,125439,125209,125295,125589,124444,123044
16496,Yorkville,TN,86286,86311,86291,86118,85958,86067,86192,86150,85443
16497,Fruitvale,TX,143185,143296,143274,143037,142308,141683,140953,140084,138592
16498,Houston,OH,153892,154134,154365,154658,155060,155455,155872,155967,156259
16499,Creston,CA,824223,828747,835441,848492,848749,842584,841379,842965,847990
16500,Morris Chapel,TN,112409,112646,113297,113945,114210,114312,114344,114371,114297
16501,Elida,OH,154113,153990,154393,154761,155744,156466,157528,159215,161085
16502,Iron,MN,155126,155676,156154,157213,157870,158595,158834,159559,159960
16503,Paluxy,TX,123669,123993,124478,125078,125845,127132,128899,130617,131867
16504,Gradyville,KY,40676,40924,41286,41487,41869,42288,42624,42995,43503
16505,Leola,AR,72560,72325,72231,72634,72927,73426,73611,74206,74575
16506,Hemlock,OH,34141,33665,33347,32986,32755,32515,32304,32284,31865
16507,Coalton,OH,37688,37407,36779,36036,35287,34966,34420,34081,33310
16508,Osceola,MO,64706,64632,64619,64803,64969,65318,65800,66291,66652
16509,Clarksville,IA,127635,127781,127875,127980,127961,127818,127761,127610,127493
16510,Smith River,CA,284659,285568,286047,286588,286743,286760,286135,286100,286144
16511,Washburn,IL,77207,77381,77616,77807,77864,77823,77974,78151,78380
16512,Whitewater,KS,140298,141070,141442,141701,141838,142329,142976,143602,143885
16513,Lilesville,NC,57953,58031,58064,58081,58110,58129,58250,58252,58369
16514,Gem Lake,MN,331575,333308,335186,337661,338876,341019,343475,347074,351077
16515,Le Roy,WV,77745,77879,77847,77681,77664,77480,77468,77201,76869
16516,Hazel Green,KY,91625,93020,94089,95299,96032,96934,97099,98063,98742
16517,Glidden,TX,106765,107256,107887,108042,108220,108466,108901,109379,110140
16518,Plymouth,ME,119707,120679,121515,122617,123165,123312,123587,125040,126460
16519,Coal Creek,CO,463503,465264,466955,468361,470949,472594,475474,478603,483118
16520,Pelham,MA,331791,334988,337648,341192,343067,345114,347666,351584,355180
16521,Spencer,VA,96851,96845,96660,96445,96390,96027,95720,95145,94830
16522,Ney,OH,130522,130587,130542,130680,130932,131353,131532,131462,131342
16523,Salisbury,NH,241965,242464,242830,243555,244124,244870,245256,246688,248628
16524,Parker,WA,100802,102522,104189,105764,106828,107783,108672,108850,108853
16525,Saint Edward,NE,86723,86384,86007,85552,85850,86116,86327,86243,86146
16526,Rawson,OH,133099,133757,134112,134594,135051,135170,135874,136458,137667
16527,Callisburg,TX,139794,139948,140383,140619,141019,140916,141070,141037,141999
16528,Sadler,TX,260300,260966,262155,262309,261796,260856,259770,258626,255872
16529,Bakersfield,VT,192538,192866,193145,192883,192631,192197,191827,191097,189507
16530,Ideal,GA,74609,74490,74665,74530,74470,74301,74305,73893,73215
16531,Friant,CA,458700,458703,458586,459547,460596,461655,463462,466720,471011
16532,Isola,MS,118831,119197,119505,120205,121395,122686,123477,123734,123990
16533,Valdez,AK,238141,236650,235350,234085,232615,232161,230986,229674,228348
16534,Cold Brook,NY,84557,84606,84697,84760,84887,85087,85337,85703,86309
16535,Gore,OK,84066,84068,84215,84664,84960,85153,85267,85609,85899
16536,Lincoln,ND,233037,233937,235114,236141,236761,237369,237863,237086,237194
16537,Town of Shelter Island,NY,948957,947898,949986,951644,953168,954082,953666,952618,953075
16538,Nellysford,VA,380231,380422,380379,380424,380632,380846,381287,381509,382510
16539,Raymond,NE,325134,325681,326390,327145,329032,331184,334319,336918,339402
16540,Ozone,AR,95482,96195,96595,97145,97447,97552,97492,97120,97190
16541,Noma,FL,76444,76192,76057,76197,76547,77141,77348,77742,77823
16542,Danbury,NH,200087,201485,202333,202847,202643,201481,200203,198196,196771
16543,Star City,WV,159209,159492,159758,160073,160379,160816,161140,161327,161271
16544,Town of Westport,NY,175337,175509,175555,175630,175899,176195,176396,176378,176394
16545,Huttonsville,WV,62139,62285,62279,62381,62024,61632,61243,61234,61346
16546,Jeffersonton,VA,427712,428602,431625,433212,434846,437373,440181,441927,441101
16547,Willshire,OH,87090,87458,87797,88224,88610,88897,89250,89292,89383
16548,Exeter,MO,89507,89877,90146,90176,90005,89965,90100,90105,90110
16549,Langsville,OH,78347,78583,78983,79589,79972,80474,80748,81115,80991
16550,Pretty Prairie,KS,113737,114125,114705,115250,115869,116128,116239,116121,116293
16551,Warson Woods,MO,456045,456297,456318,457492,458628,461113,464573,468494,472855
16552,Carney,OK,100962,101742,102196,102421,102316,102089,102035,102475,102960
16553,Valier,MT,142362,142892,143803,144217,145578,147104,149172,150262,151666
16554,Harrietta,MI,100656,100262,99809,99632,99292,98927,98098,97779,97840
16555,Town Of Fremont,NY,195225,196970,199915,201145,202210,202879,204465,206501,207821
16556,Gaylord,KS,44627,44211,43172,42306,41680,41256,41178,41129,40706
16557,Cedar,KS,37192,37843,38528,39250,40012,40815,41663,42558,43566
16558,Fort Washakie,WY,200530,201211,201756,202531,203248,203841,204718,205433,206815
16559,Merna,IL,300103,302169,302781,302138,300261,299473,298217,297340,295136
16560,Midway South,TX,106801,107026,107210,107838,108396,109209,109793,111090,112652
16561,Allerton,IA,73728,74090,74105,74283,74527,74785,75042,75189,75435
16562,Stone Lake,WI,261258,261457,261337,261361,261234,260801,260211,260064,260095
16563,Crosby,MS,94970,95612,96147,96622,97289,98014,99258,100427,101497
16564,Kendrick,ID,229186,229528,229968,230192,231012,232470,233783,235776,237897
16565,Depoe Bay,OR,364876,366331,367230,368450,370165,371525,373901,376463,380284
16566,Bergholz,OH,50377,49887,49401,48887,48563,48486,48327,48471,48401
16567,Tonica,IL,103158,103458,103517,103897,103984,104196,104286,104710,105303
16568,Ashmore,IL,74002,74203,74486,74538,74313,73815,73362,73117,73032
16569,Pena Blanca,NM,199118,201387,203601,206164,208232,209256,208373,208295,207759
16570,Toms Brook,VA,210292,210656,211051,211354,211804,212303,212867,213375,214018
16571,Duncannon,PA,195288,195115,195351,195243,195130,193606,192276,191071,190489
16572,East Griffin,GA,55558,57346,59017,60109,60780,61701,62140,62244,61649
16573,Velda Village,MO,28723,28628,28643,28748,28678,28677,28598,28719,28829
16574,Camak,GA,41589,41681,41630,41589,41493,41586,41898,42201,42460
16575,Belleair Beach,FL,577425,580346,582923,582757,583851,586462,591275,596738,603101
16576,Fair Oaks,OK,210875,209888,208085,205166,202734,199978,194980,189047,183077
16577,Cowarts,AL,103447,103939,104174,104711,105331,106283,106975,107736,108826
16578,Merrimac,WI,278197,278602,278666,278468,279296,278734,278113,277358,277655
16579,Covington,NY,136620,137179,137462,137451,137044,136733,136741,137072,137360
16580,Faith,SD,104310,103995,103720,103616,103559,103321,102870,102049,101800
16581,Howard City,NE,79582,79576,79700,79358,79367,78802,78471,77814,77684
16582,Cantrall,IL,191633,191755,192243,192321,193543,194624,196142,196685,197531
16583,Summerland Key,FL,628036,626358,626488,626626,628820,630571,634397,638475,643991
16584,Morrisville,MO,149175,149453,149912,150259,150201,150029,150061,150791,151346
16585,Blodgett,OR,345480,346962,347918,345952,343256,340360,337697,332393,327599
16586,Rose Creek,MN,187398,188191,189016,189152,188874,188789,189181,190679,192084
16587,Falkland,NC,73409,74138,74416,74981,76201,77645,79391,81357,83835
16588,Breezy Point,MN,240837,242018,244207,245160,247259,248579,250537,252237,252947
16589,Mohawk,MI,145841,145199,144580,144102,143980,142918,141866,140215,139177
16590,Gordon,TX,190970,190739,190847,190333,189827,189366,189043,188513,187427
16591,French Camp,MS,74552,74753,75046,75392,75828,75931,75872,75711,75524
16592,Rives,TN,112399,112829,113172,113519,113809,114081,114191,114421,114777
16593,Rio Grande,OH,92616,93338,94059,94924,95616,96185,96053,95575,95491
16594,Samoa,CA,252458,252614,250551,248253,248836,248446,249224,248498,250355
16595,Albany,IL,122995,123408,123690,123810,123531,123133,122783,122526,122166
16596,Greenville,CA,184841,185374,185629,186336,186873,187103,186803,186873,187084
16597,Dennison,MN,272621,274227,276546,278503,281329,282388,283343,283777,285496
16598,Thrall,TX,243770,245094,247299,249748,251279,254012,257265,261173,265310
16599,Toughkenamon,PA,324224,324780,325931,328664,333053,335736,337756,337780,338349
16600,Raywick,KY,115064,115547,116174,116682,116769,117394,118102,118996,119878
16601,Horse Branch,KY,78274,79077,80260,80543,81089,81471,82019,82300,82408
16602,Lexa,AR,38530,38355,38168,37828,37324,36645,36251,35933,36096
16603,Concord,VT,86159,86203,86243,86448,86876,87231,87494,87450,87524
16604,Newhall,IA,158357,158504,158727,158792,158761,158736,158828,158766,158684
16605,Atlanta,LA,76778,77079,76684,76285,75890,76197,76524,76703,76572
16606,Waterford,ME,167468,169444,171326,173872,175229,176339,177275,178969,181280
16607,Town Of Elizabethtown,NY,148916,148944,148899,148905,149130,149430,149656,149647,149758
16608,Oxford,ID,227992,227823,228511,228563,227172,224769,222066,219362,218394
16609,Elmore,VT,214093,214520,214394,214397,214972,215759,216469,217070,219677
16610,Clifton,ID,250867,250261,251040,252212,253169,252706,251774,250481,250114
16611,Ainsworth,IA,152103,152498,152936,153073,153322,153167,153330,153504,154057
16612,Washington,NE,153038,152974,153180,152515,152873,152868,153438,153257,153211
16613,Deer Trail,CO,311066,312645,314436,317103,318923,320803,322341,325244,327526
16614,Hi Hat,KY,34611,34243,34037,33624,33348,33002,32762,32811,32870
16615,Convent,LA,69972,71030,71239,71734,72287,73015,73572,73757,73797
16616,Dalton,PA,202516,202450,201356,201566,202753,204274,205206,207066,209228
16617,Hamilton,IA,47210,46350,45312,44488,43777,43050,42230,41330,40896
16618,Bussey,IA,39991,39496,39114,39049,39313,39603,39773,39728,39924
16619,Marysville,IA,44230,44158,43838,43714,43924,44664,45401,46002,46677
16620,Burgaw,NC,147742,150259,152362,154455,155473,155206,155470,155939,157226
16621,Alma,CO,348171,348666,349482,350264,350590,351052,351685,352291,353184
16622,Abiquiu,NM,183255,183434,183971,184988,185408,185689,185585,185381,184840
16623,Prue,OK,72861,72674,72526,72213,72272,72093,72210,71962,71714
16624,Haysi,VA,44772,44566,44328,44080,43892,43763,43552,43167,42683
16625,West Leechburg,PA,127616,127506,127314,127615,127689,127826,127916,128428,128886
16626,Rociada,NM,201116,202725,204309,204882,204891,207052,208796,212158,213861
16627,Mauriceville,TX,173256,173269,173334,173260,173280,173245,173198,173013,172631
16628,Byromville,GA,42083,42040,42031,42000,42129,42420,42726,42919,42988
16629,Delta,UT,154256,154466,155068,155684,156059,156371,156582,157336,157672
16630,Sodus,MI,155578,155468,154960,154945,155205,155440,156331,156604,157246
16631,Montour,NY,161713,162171,162633,163023,164116,165243,166476,166884,167363
16632,Marenisco,MI,129391,128968,128397,127717,127146,126458,126044,125882,126022
16633,Rayle,GA,93930,93999,93925,93440,93180,93005,93312,93200,93246
16634,Jacksonville,OH,30307,30211,30215,30260,30444,30839,31332,31831,32120
16635,Asbury,IA,267529,267105,267323,268527,270422,272332,273221,273804,274265
16636,Garwood,TX,122034,122273,122499,122741,122858,122780,122870,122802,122713
16637,Tripp,SD,64103,64331,64573,64886,65110,65234,65153,64930,64731
16638,Laurium,MI,57845,57919,58027,58142,58129,58046,58081,58453,59074
16639,Orford,NH,218669,219017,218762,219133,219923,220305,221390,222192,223672
16640,Stoutland,MO,113659,114629,115832,117282,118988,120963,123220,125810,128861
16641,Iaeger,WV,20455,20672,20879,21192,21307,21409,21352,21395,21485
16642,Treynor,IA,208095,209387,210654,212486,215041,217867,221031,224015,227925
16643,Banner,KY,58472,58544,58754,58972,58954,58505,58029,57618,57294
16644,Saratoga,TX,113249,113257,113845,114251,114788,114894,115284,115292,114967
16645,Apalachin,NY,115005,115090,115104,115174,115409,115633,115892,115988,116033
16646,Chilhowee,MO,137571,138720,139600,140086,140683,141166,141693,142305,143232
16647,Seymour,IA,65412,65576,65754,66049,66714,67220,67732,68298,68851
16648,Paw Paw,IL,108425,108830,109145,109337,109428,109495,109499,109358,109309
16649,Satanta,KS,137122,138308,139386,140574,141643,142637,142712,142939,143170
16650,Boxholm,IA,63916,63868,63645,63509,63300,63149,63047,62925,62998
16651,Pilot Mound,IA,52148,51798,51187,50880,51174,51791,52245,52368,52077
16652,Blooming Grove,TX,112025,112407,112717,112962,113265,113504,113704,113767,113854
16653,Waterman,IL,187744,188595,188760,189163,190064,191143,192270,192791,193751
16654,Saint Inigoes,MD,323251,325009,326241,327228,327954,330129,333244,337261,342365
16655,Bentley,KS,109470,110791,112056,113132,113907,114570,115162,116168,117586
16656,Newville,PA,191774,192936,193592,194078,194141,194399,195334,195543,196294
16657,Chelsea,VT,143944,144366,144719,144744,145338,146159,147138,147971,148987
16658,Sparks,OK,123358,124616,125354,125838,126183,126554,127188,128230,129203
16659,Fithian,IL,99665,99840,100064,100429,100703,100813,100802,100943,101369
16660,Mitchell Heights,WV,136541,137163,137513,138248,139329,140477,141088,141241,141405
16661,Monroe Township,PA,193944,194559,194971,195334,196315,197099,196576,195112,193632
16662,Chase,MI,66253,66038,65794,65828,65973,66727,67507,68216,68823
16663,Blackduck,MN,89732,89635,89632,89558,89792,89725,89721,89368,89475
16664,Lidderdale,IA,87991,87920,87648,87589,87588,87798,88270,88568,88804
16665,Shade Gap,PA,111976,112055,112377,112202,112474,112793,113124,113697,114333
16666,Lanesboro,IA,58895,58604,58167,58240,58196,58327,58060,57809,57557
16667,Reeds,MO,128552,131889,133727,135298,136436,138381,140885,142982,144783
16668,Avery,TX,97432,97435,97546,97624,97484,97391,97295,97395,97410
16669,Elkton,TN,65677,66008,66434,66359,66310,66155,65604,64825,64341
16670,Warrensville,NC,153432,152689,152274,152637,153453,154310,154820,154901,155169
16671,Town Of Lewis,NY,122199,122428,122595,122800,122947,123140,123311,123354,123303
16672,Weott,CA,242428,241142,238767,236451,234796,232188,229591,227075,224274
16673,Avera,GA,102090,102535,102633,102591,102466,102120,101926,101296,100892
16674,Boswell,PA,102810,103007,103269,103735,104048,104417,104607,104839,104911
16675,Calvert,TX,83956,84606,85001,85060,85201,85322,85662,85937,86017
16676,Enid,MS,133970,134379,134739,134897,135050,135334,135987,136397,136585
16677,Holliday,TX,87024,86884,86645,86465,86395,86605,86855,87281,87758
16678,Trout Creek,MT,301260,303661,305925,308568,310532,312536,313780,313548,314002
16679,Salol,MN,124165,124641,125521,126322,127017,128427,129500,130943,131564
16680,Atlantic Beach,NY,939075,941112,947013,954656,961846,973210,985094,997198,1010129
16681,Jerusalem,OH,129139,129434,130042,130725,131692,132295,132736,132775,133072
16682,West Carroll Township,PA,41935,41982,42162,42481,42940,43544,44301,45216,46359
16683,Stafford,KS,48150,48205,48280,48520,48876,49354,49818,50030,50096
16684,Wayland,MO,188651,187175,185273,183084,180385,178536,176860,175070,172272
16685,Terrell,NC,526140,528852,531166,532261,537099,545225,556873,566689,574562
16686,Brinson,GA,111299,111771,112067,112947,113583,114233,114353,114691,114926
16687,Trenton,KY,152109,152439,152027,151561,151971,151384,151130,150701,151447
16688,Blakeslee,OH,73852,74136,74531,74887,75671,76459,77238,77937,78512
16689,Wiconisco Township,PA,71665,71390,71211,70614,69850,69277,69423,70102,71244
16690,Ledbetter,TX,288098,288465,288599,288811,288601,288621,288755,289191,289575
16691,Wolcott,VT,172046,172108,172082,171993,172591,173261,173904,174105,175319
16692,Hamel,IL,174533,175087,176059,177589,179328,180569,181250,181985,183585
16693,La Prairie,WI,207911,208481,210244,211123,210109,208469,208281,209849,211856
16694,Palmer Lake,CO,391887,394136,397302,400483,402586,402942,403540,404004,405578
16695,Golden City,MO,78118,78128,78045,77729,77403,77066,76806,76202,75709
16696,Walloon Lake,MI,167258,167816,167487,167702,168099,169235,170546,171890,172686
16697,Cowden,IL,89714,89722,89949,89882,89370,89046,89126,88988,89216
16698,Porter,OK,114153,117148,119886,122520,123877,124788,124986,125753,127164
16699,Daleville,VA,288227,288653,289024,289351,289788,290299,290843,291116,291301
16700,Sprague,NE,150639,150802,151330,151783,152375,153462,155936,159020,162244
16701,Curtiss,WI,115519,115566,115373,115033,114751,114722,114879,115083,115367
16702,Snelling,CA,276718,279626,282728,285895,288408,291273,297723,304073,310939
16703,Sloan,IA,152639,153167,153389,153566,153943,154210,154625,154627,154663
16704,Arkport,NY,93456,94023,94581,94399,94174,94299,95322,95896,96360
16705,Wakefield,KS,129090,129701,130029,130634,131025,131474,131586,132341,133243
16706,Needham,IN,234899,235461,236537,237800,238944,239583,239964,239836,239132
16707,Benton,IA,91076,89961,89026,88457,88172,87818,87378,86771,86075
16708,Vienna,MD,124386,124466,124280,124032,123749,123704,123697,123644,123630
16709,Maloy,IA,61005,61845,62283,62643,62873,62931,62650,62048,61566
16710,Walker,IA,179761,179966,180377,180383,180738,180837,181173,181395,181732
16711,Sea Isle City,NJ,759331,764925,772503,783010,793050,805174,815401,823816,829241
16712,Mannsville,OK,75704,75922,76667,77365,78125,78639,79426,80346,81427
16713,Rock Port,MO,96447,96393,96169,95509,94926,94424,93950,93258,92476
16714,Rolling Hills,WY,254556,255065,255319,255640,255896,256078,256478,256838,257339
16715,Greilickville,MI,273977,274008,273906,273646,272894,271791,270809,270035,269247
16716,Karlstad,MN,77021,76835,76407,76278,76531,76710,76675,76440,76270
16717,Fulton,MI,147625,149441,150857,151454,152128,153774,155617,157471,159145
16718,Corunna,IN,178861,180198,182055,183815,185002,186452,187178,188344,189855
16719,Piperton,TN,467374,468077,469947,471605,474276,475587,478352,480780,485714
16720,East Bank,WV,68868,69181,69303,69620,70137,70185,69580,68049,66698
16721,Christoval,TX,205270,205473,207533,209898,213496,215962,217720,219647,221150
16722,Lingle,WY,181394,181778,181867,182158,182331,182970,183412,183948,184240
16723,Wheeler,NY,106560,106560,106370,106205,106019,105934,105716,105970,106266
16724,Viola,AR,129089,128610,128261,129107,129742,130209,129696,129306,129420
16725,Saulsbury,TN,114933,115427,115977,116459,116765,117000,117318,117705,118050
16726,Elkwood,VA,294396,295514,298833,300696,302131,303630,305578,306873,306610
16727,Willow Wood,OH,82843,83277,83430,83149,83167,83224,83612,83863,84080
16728,Jumpertown,MS,93073,93312,93393,93565,93638,93898,94055,94152,94135
16729,Allen,NE,79330,79052,79383,79391,79316,78868,78250,77671,77049
16730,Enterprise,KS,91035,90923,90753,90477,90517,90504,90921,91053,90967
16731,Vaughan,MS,78978,79644,79779,79634,79837,80582,80979,80817,80430
16732,Porterfield,WI,139277,139452,139486,139498,139461,139421,139390,139504,139765
16733,Seiling,OK,106225,107045,107938,108798,108562,108168,107412,107441,106940
16734,Maugansville,MD,185839,186433,187715,188498,189079,188868,189904,192040,195550
16735,Prairie Farm,WI,134675,134918,135258,135405,135589,136062,136479,137034,137294
16736,Sinai,SD,63715,63553,63808,64026,64680,65588,66123,66316,66155
16737,Clarence,IA,117764,117980,117931,117986,118133,118344,118548,118574,119015
16738,Indian Shores,FL,432413,435256,438789,440735,441697,442662,445432,449663,454572
16739,Snowmass Village,CO,1008089,1009047,1008629,1008962,1009876,1012773,1014750,1016004,1016395
16740,Maysville,IA,137952,138360,138681,139133,139155,139599,140225,140786,140618
16741,Calypso,NC,66188,66381,66298,66137,65995,65866,65576,65261,64858
16742,Loretto,VA,338475,343659,348822,352554,356177,359340,364023,367715,372714
16743,North Fairfield,OH,103513,103458,103466,103514,103870,104613,105145,105110,104780
16744,Richvale,CA,303332,301342,299324,297117,295710,295677,299622,303202,308832
16745,Strawberry,AR,78418,78860,79285,79574,79794,79990,80409,80658,81073
16746,Trivoli,IL,147699,147789,148610,149163,148976,148985,149498,151183,152486
16747,Califon,NJ,467123,466675,467861,466343,467254,467987,473107,479213,487143
