,City,State,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19
131,Montgomery,AL,92863,93443,93979,94342,94313,94331,94199,94197,94271,94493,94690,94850
132,Bradenton,FL,240602,242299,242242,241869,240610,240805,242013,242950,243507,243858,244111,244568
133,Corona,CA,493830,494706,496882,497342,497257,497779,498673,499264,498611,499744,500213,502886
134,Oceanside,CA,523458,521382,520517,523919,527167,531187,534076,535374,535267,535064,536716,539309
135,Tacoma,WA,317927,319726,320500,320440,322693,325617,328267,329794,332114,334401,336770,338661
136,Grand Rapids,MI,173557,174427,175684,177148,179810,181302,181927,180967,180961,181582,182907,183748
137,Gainesville,FL,185798,186575,187026,187899,188669,189544,190594,191548,192745,193707,194585,195157
138,Yonkers,NY,521269,519016,519306,521201,524373,527902,529154,530592,530276,529087,527848,528913
139,Glendale,CA,831720,827659,823558,821639,826743,834392,835203,833512,832286,836158,838839,843043
140,Augusta,GA,106362,106772,107393,107500,107523,107443,107747,108103,108525,109044,109591,110175
141,Moreno Valley,CA,334379,335405,337248,338034,338429,339305,340475,341617,341886,343507,344560,347149
142,Akron,OH,69844,70406,70757,70892,71249,72108,72838,73207,73477,73642,73904,74146
143,Aurora,IL,191951,192849,193244,193543,193842,193951,193919,193395,193209,192968,193155,193309
144,Wilmington,NC,237614,237614,238154,239741,241334,243409,244696,246476,247514,248542,249336,250470
145,Huntington Beach,CA,850769,848534,846592,846130,849679,853206,858250,859338,863125,864920,867239,869216
146,Huntsville,AL,166647,166453,166615,167105,168280,169476,170689,171553,172778,173672,174897,176556
147,Amarillo,TX,137133,137554,137874,137875,138176,138470,139127,139442,139681,139716,139814,140031
148,Eugene,OR,313110,313262,314200,315907,317870,321382,323694,325958,326653,328558,329915,332336
149,Salt Lake City,UT,392863,396320,398722,399904,400433,401982,403792,406236,408476,410037,411851,413503
150,Port Saint Lucie,FL,226883,227644,228119,229691,230473,230757,231050,231515,232265,232841,233194,233651
151,Salinas,CA,500256,501624,502864,505056,505205,506399,506641,508360,508727,509306,510198,511209
152,Little Rock,AR,198206,198601,198459,198334,197802,197790,197402,197811,198252,198825,199145,199406
153,Fort Collins,CO,412164,414024,415474,415529,415232,414776,416169,417087,418708,419035,419789,420525
154,Hayward,CA,665672,661534,660049,661762,664247,667431,667201,664101,661409,661244,661134,665247
155,Brownsville,TX,97007,97672,98167,98383,98197,98594,99110,99898,100062,100017,99869,100188
156,Rockford,IL,92904,93202,94149,94972,95863,96076,96165,96603,96573,96835,96942,97134
157,Evansville,IN,126344,126961,127911,128529,129012,129325,129628,130423,130745,131320,131638,132231
158,Worcester,MA,247469,247697,247621,248853,250878,253234,254888,255981,256480,257957,259575,261393
159,Overland Park,KS,312363,312941,313463,313816,313931,314549,315036,315541,315569,316238,316413,316573
160,Lancaster,CA,286214,285613,285056,285282,287337,290029,291021,291261,291444,292787,293882,295740
161,Salem,OR,287676,288698,289695,290221,290994,291942,293072,293561,293514,293161,293284,293948
162,Garden Grove,CA,629272,628359,627818,628111,631416,634684,638424,639809,642998,645257,647596,649651
163,Grand Prairie,TX,213247,214486,215506,216261,217162,217968,218823,219785,220973,221825,222567,223051
164,Beaverton,OR,397366,398111,397091,396999,397572,399514,400428,401801,401482,402482,401875,402386
165,Escondido,CA,515990,514251,513279,515668,517506,520965,523751,525442,524977,524491,525657,528151
166,Providence,RI,221391,221118,221536,223455,225269,226884,227809,228302,228848,229822,231499,232983
167,Fort Lauderdale,FL,330641,330983,330907,330547,330113,330629,331542,332009,332579,333294,333903,334113
168,Ontario,CA,419540,419810,420378,420685,423177,425005,425693,425345,425251,426716,428517,430390
169,Columbus,GA,102393,102717,103124,103610,103501,103638,103652,104130,104297,104721,105310,106093
170,Sioux Falls,SD,218217,218680,219063,219450,220241,221025,221658,221952,222170,222592,222993,223718
171,Charleston,SC,328559,328873,329748,330653,330762,330845,331186,331578,331518,331218,331541,332083
172,Kissimmee,FL,223951,227133,229075,230885,231108,231855,232710,232634,233005,233432,234777,235690
173,Chattanooga,TN,166380,167798,169244,169929,170535,170966,171588,172136,172752,173253,173909,174567
174,Tempe,AZ,283937,285047,286264,286450,287839,289820,292380,294352,295677,297441,299899,302429
175,Murfreesboro,TN,254163,254515,255367,256652,257204,257820,258100,258823,259733,260742,262047,263440
176,Rancho Cucamonga,CA,523648,523764,524143,524322,527055,529101,529799,529058,528334,529724,531786,534009
177,Cape Coral,FL,233153,233065,231940,232362,231470,231631,232232,232893,232935,232835,233166,233053
